序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
135,001337,四川黄金,130026700.0,,150313600.0,1054552400.0,,51154000.0,,518382800.0,,49.1566658992,536169600.0,2022-02-21
136,001223,欧克科技,126689009.99,86474695.07,199444327.09,766367348.25,,86026742.12,,231647105.62,,30.2266408073,534720242.63,2022-02-21
137,688163,赛伦生物,93663377.35,19102953.37,49406824.92,405079901.43,,3233044.26,,39775394.54,,9.8191478767,365304506.89,2022-02-18
138,301278,快可电子,,,,759546200.0,,,,387750700.0,,51.050311357,,2022-02-17
139,301257,普蕊斯,,,,340655000.0,,,,130754400.0,,38.3832323025,,2022-02-17
140,301115,联检科技,,,,1218442200.0,,,,506707900.0,,41.58653566,,2022-02-17
141,688281,华秦科技,102125500.76,265849417.68,48832756.37,657483154.55,,67493447.51,,219847631.21,,33.4377587758,437635523.34,2022-02-16
142,603281,江瀚新材,376578660.68,289598881.69,187001084.72,1410499967.23,,174466087.53,3551727.11,398954271.42,,28.2845998361,1011545695.81,2022-02-16
143,301258,富士莱,,,,925085000.0,,,,216268200.0,,23.3781976791,,2022-02-16
144,301215,中汽股份,143847008.94,145684328.2,1031739.26,1989594347.69,,90427217.95,,586703853.77,,29.4886168354,1402890493.92,2022-02-16
145,001376,百通能源,68337967.96,20522610.05,44798664.72,1311074658.83,,109430350.27,,686755088.41,,52.3810817168,624319570.42,2022-02-16
146,001256,炜冈科技,227997200.0,13809000.0,167757400.0,659222100.0,,41239300.0,,154964600.0,,23.5071912789,504257400.0,2022-02-16
147,688362,甬矽电子,,,,4416920800.0,,,,3166979100.0,,71.7010615178,,2022-02-14
148,301282,金禄电子,,,,1464964000.0,,,,961881300.0,,65.6590400856,,2022-02-11
149,301270,汉仪股份,,,,470763100.0,,,,45641400.0,,9.6951948868,,2022-02-11
150,688353,华盛锂电,,,,1367913900.0,,,,465990800.0,,34.0657990243,,2022-02-10
151,301332,德尔玛,,,,2228506600.0,,,,1060488400.0,,47.587402254,,2022-02-10
152,688253,英诺特,,,,770498200.0,,,,47680700.0,,6.1882947942,,2022-02-09
153,301229,纽泰格,12893687.06,136298275.72,114848800.91,589532076.83,,114254366.02,,178058714.39,,30.2033971328,411473362.44,2022-02-09
154,301226,祥明智能,,,,616842900.0,26.0249592971,,,189992600.0,76.8442313957,30.8008084392,,2022-02-09
155,301518,长华化学,83839418.26,149662520.43,144076002.41,758041173.17,,79666563.82,1420050.08,362946649.21,,47.8795429663,395094523.96,2022-02-08
156,301418,协昌科技,,,,638368900.0,20.7541791229,,,,,,,2022-02-08
157,601595,上海电影,1352887018.05,133200425.92,6515732.43,3536509509.2,16.5743459674,287015932.94,6582535.01,1624655489.96,94.479465131,45.9395199061,1911854019.24,2022-01-29
158,600360,*ST华微,982682931.38,401325303.56,171597052.48,6007772598.6,7.8053766214,395664621.76,,2841295284.83,15.1020671462,47.2936556469,3166477313.77,2022-01-29
159,301330,熵基科技,,,,2019105200.0,,,,640387000.0,,31.7163761452,,2022-01-29
160,301191,菲菱科思,,,,1262397600.0,,,,816111800.0,,64.6477623215,,2022-01-29
